"Result:S-CSCF Registered Sub(2023-10-26 140525)_20231026_140551.csv"
"Save Time:2023-10-26 14:05:51"
"User Name:ca_usr"


"NE Type Name:CSCF"

"NE Names:CBTCSCF01;SNBCSCF01;DPS_CSCF01"

"Function Subset Name:S-CSCF Session Unrelated Measurement"

"Total 1,727 records"

"Start Time","Period (min)","NE Name","SCSCF","Number of S-CSCF Registered Users (number)","Rate of S-CSCF Successful Initial Registrations (%)","Rate of S-CSCF Successful Re-registrations (%)"
"2023-10-24 00:00:00","5","SNBCSCF01","S-CSCF ID=0","4496524","72.878","99.794"
"2023-10-24 00:05:00","5","SNBCSCF01","S-CSCF ID=0","4494432","74.497","99.735"
"2023-10-24 00:10:00","5","SNBCSCF01","S-CSCF ID=0","4491654","72.917","99.777"
"2023-10-24 00:15:00","5","SNBCSCF01","S-CSCF ID=0","4488457","74.85","99.774"
"2023-10-24 00:20:00","5","SNBCSCF01","S-CSCF ID=0","4485437","75.592","99.779"
"2023-10-24 00:25:00","5","SNBCSCF01","S-CSCF ID=0","4482220","74.227","99.778"
"2023-10-24 00:30:00","5","SNBCSCF01","S-CSCF ID=0","4478649","72.96","99.768"
"2023-10-24 00:35:00","5","SNBCSCF01","S-CSCF ID=0","4475701","73.504","99.755"
"2023-10-24 00:40:00","5","SNBCSCF01","S-CSCF ID=0","4472814","72.642","99.778"
"2023-10-24 00:45:00","5","SNBCSCF01","S-CSCF ID=0","4469941","73.109","99.762"
"2023-10-24 00:50:00","5","SNBCSCF01","S-CSCF ID=0","4467351","72.119","99.762"
"2023-10-24 00:55:00","5","SNBCSCF01","S-CSCF ID=0","4464958","72.016","99.776"
"2023-10-24 01:00:00","5","SNBCSCF01","S-CSCF ID=0","4461123","72.076","99.76"
"2023-10-24 01:05:00","5","SNBCSCF01","S-CSCF ID=0","4458542","72.298","99.793"
"2023-10-24 01:10:00","5","SNBCSCF01","S-CSCF ID=0","4456400","73.099","99.777"
"2023-10-24 01:15:00","5","SNBCSCF01","S-CSCF ID=0","4453901","71.951","99.732"
"2023-10-24 01:20:00","5","SNBCSCF01","S-CSCF ID=0","4451384","72.315","99.774"
"2023-10-24 01:25:00","5","SNBCSCF01","S-CSCF ID=0","4449079","70.282","98.888"
"2023-10-24 01:30:00","5","SNBCSCF01","S-CSCF ID=0","4446857","72.33","99.218"
"2023-10-24 01:35:00","5","SNBCSCF01","S-CSCF ID=0","4444827","72.833","99.815"
"2023-10-24 01:40:00","5","SNBCSCF01","S-CSCF ID=0","4442541","71.837","99.785"
"2023-10-24 01:45:00","5","SNBCSCF01","S-CSCF ID=0","4440385","71.992","99.789"
"2023-10-24 01:50:00","5","SNBCSCF01","S-CSCF ID=0","4438344","72.825","99.784"
"2023-10-24 01:55:00","5","SNBCSCF01","S-CSCF ID=0","4436156","73.342","99.762"
"2023-10-24 02:00:00","5","SNBCSCF01","S-CSCF ID=0","4433631","72.511","99.798"
"2023-10-24 02:05:00","5","SNBCSCF01","S-CSCF ID=0","4432253","73.177","99.783"
"2023-10-24 02:10:00","5","SNBCSCF01","S-CSCF ID=0","4430871","73.243","99.779"
"2023-10-24 02:15:00","5","SNBCSCF01","S-CSCF ID=0","4429119","72.458","99.79"
"2023-10-24 02:20:00","5","SNBCSCF01","S-CSCF ID=0","4427623","72.328","99.788"
"2023-10-24 02:25:00","5","SNBCSCF01","S-CSCF ID=0","4426282","72.175","99.803"
"2023-10-24 02:30:00","5","SNBCSCF01","S-CSCF ID=0","4424798","72.218","99.79"
"2023-10-24 02:35:00","5","SNBCSCF01","S-CSCF ID=0","4423270","72.75","99.781"
"2023-10-24 02:40:00","5","SNBCSCF01","S-CSCF ID=0","4422033","72.785","99.792"
"2023-10-24 02:45:00","5","SNBCSCF01","S-CSCF ID=0","4420660","72.316","99.79"
"2023-10-24 02:50:00","5","SNBCSCF01","S-CSCF ID=0","4419643","73.287","99.791"
"2023-10-24 02:55:00","5","SNBCSCF01","S-CSCF ID=0","4419495","74.97","99.783"
"2023-10-24 03:00:00","5","SNBCSCF01","S-CSCF ID=0","4418491","74.125","99.822"
"2023-10-24 03:05:00","5","SNBCSCF01","S-CSCF ID=0","4417606","73.459","99.789"
"2023-10-24 03:10:00","5","SNBCSCF01","S-CSCF ID=0","4417276","74.421","99.772"
"2023-10-24 03:15:00","5","SNBCSCF01","S-CSCF ID=0","4416555","73.475","99.788"
"2023-10-24 03:20:00","5","SNBCSCF01","S-CSCF ID=0","4416246","74.23","99.791"
"2023-10-24 03:25:00","5","SNBCSCF01","S-CSCF ID=0","4416142","74.709","99.78"
"2023-10-24 03:30:00","5","SNBCSCF01","S-CSCF ID=0","4415848","75.056","99.786"
"2023-10-24 03:35:00","5","SNBCSCF01","S-CSCF ID=0","4415791","74.406","99.758"
"2023-10-24 03:40:00","5","SNBCSCF01","S-CSCF ID=0","4415891","74.887","99.762"
"2023-10-24 03:45:00","5","SNBCSCF01","S-CSCF ID=0","4416063","75.924","99.792"
"2023-10-24 03:50:00","5","SNBCSCF01","S-CSCF ID=0","4417456","77.139","99.79"
"2023-10-24 03:55:00","5","SNBCSCF01","S-CSCF ID=0","4420166","78.582","99.789"
"2023-10-24 04:00:00","5","SNBCSCF01","S-CSCF ID=0","4422447","78.98","99.782"
"2023-10-24 04:05:00","5","SNBCSCF01","S-CSCF ID=0","4423856","78.638","99.798"
"2023-10-24 04:10:00","5","SNBCSCF01","S-CSCF ID=0","4425919","78.371","99.765"
"2023-10-24 04:15:00","5","SNBCSCF01","S-CSCF ID=0","4428319","78.914","99.777"
"2023-10-24 04:20:00","5","SNBCSCF01","S-CSCF ID=0","4431650","79.205","99.765"
"2023-10-24 04:25:00","5","SNBCSCF01","S-CSCF ID=0","4435753","80.463","99.743"
"2023-10-24 04:30:00","5","SNBCSCF01","S-CSCF ID=0","4440174","80.7","99.795"
"2023-10-24 04:35:00","5","SNBCSCF01","S-CSCF ID=0","4444530","80.468","99.76"
"2023-10-24 04:40:00","5","SNBCSCF01","S-CSCF ID=0","4449260","80.948","99.746"
"2023-10-24 04:45:00","5","SNBCSCF01","S-CSCF ID=0","4454375","81.418","99.769"
"2023-10-24 04:50:00","5","SNBCSCF01","S-CSCF ID=0","4461167","82.482","99.733"
"2023-10-24 04:55:00","5","SNBCSCF01","S-CSCF ID=0","4468666","83.012","99.763"
"2023-10-24 05:00:00","5","SNBCSCF01","S-CSCF ID=0","4476870","83.576","99.71"
"2023-10-24 05:05:00","5","SNBCSCF01","S-CSCF ID=0","4483666","82.781","99.738"
"2023-10-24 05:10:00","5","SNBCSCF01","S-CSCF ID=0","4490541","82.442","99.746"
"2023-10-24 05:15:00","5","SNBCSCF01","S-CSCF ID=0","4497645","82.671","99.756"
"2023-10-24 05:20:00","5","SNBCSCF01","S-CSCF ID=0","4504354","82.828","99.72"
"2023-10-24 05:25:00","5","SNBCSCF01","S-CSCF ID=0","4511461","82.668","99.727"
"2023-10-24 05:30:00","5","SNBCSCF01","S-CSCF ID=0","4518082","82.089","99.718"
"2023-10-24 05:35:00","5","SNBCSCF01","S-CSCF ID=0","4524303","81.82","99.721"
"2023-10-24 05:40:00","5","SNBCSCF01","S-CSCF ID=0","4530222","81.583","99.723"
"2023-10-24 05:45:00","5","SNBCSCF01","S-CSCF ID=0","4535898","81.588","99.715"
"2023-10-24 05:50:00","5","SNBCSCF01","S-CSCF ID=0","4542361","82.504","99.691"
"2023-10-24 05:55:00","5","SNBCSCF01","S-CSCF ID=0","4548575","82.075","99.712"
"2023-10-24 06:00:00","5","SNBCSCF01","S-CSCF ID=0","4554748","82.063","99.679"
"2023-10-24 06:05:00","5","SNBCSCF01","S-CSCF ID=0","4560158","81.59","99.709"
"2023-10-24 06:10:00","5","SNBCSCF01","S-CSCF ID=0","4565314","81.809","99.689"
"2023-10-24 06:15:00","5","SNBCSCF01","S-CSCF ID=0","4570181","81.124","99.676"
"2023-10-24 06:20:00","5","SNBCSCF01","S-CSCF ID=0","4575046","81.006","99.705"
"2023-10-24 06:25:00","5","SNBCSCF01","S-CSCF ID=0","4579784","81.739","99.707"
"2023-10-24 06:30:00","5","SNBCSCF01","S-CSCF ID=0","4583698","80.781","99.685"
"2023-10-24 06:35:00","5","SNBCSCF01","S-CSCF ID=0","4587591","81.348","99.685"
"2023-10-24 06:40:00","5","SNBCSCF01","S-CSCF ID=0","4591086","80.717","99.683"
"2023-10-24 06:45:00","5","SNBCSCF01","S-CSCF ID=0","4594366","80.219","99.666"
"2023-10-24 06:50:00","5","SNBCSCF01","S-CSCF ID=0","4597218","80.385","99.676"
"2023-10-24 06:55:00","5","SNBCSCF01","S-CSCF ID=0","4600060","80.875","99.66"
"2023-10-24 07:00:00","5","SNBCSCF01","S-CSCF ID=0","4602209","80.653","99.658"
"2023-10-24 07:05:00","5","SNBCSCF01","S-CSCF ID=0","4604298","80.07","99.654"
"2023-10-24 07:10:00","5","SNBCSCF01","S-CSCF ID=0","4606450","79.655","99.653"
"2023-10-24 07:15:00","5","SNBCSCF01","S-CSCF ID=0","4608418","78.54","99.66"
"2023-10-24 07:20:00","5","SNBCSCF01","S-CSCF ID=0","4610105","78.64","99.641"
"2023-10-24 07:25:00","5","SNBCSCF01","S-CSCF ID=0","4611893","78.879","99.654"
"2023-10-24 07:30:00","5","SNBCSCF01","S-CSCF ID=0","4613749","78.966","99.642"
"2023-10-24 07:35:00","5","SNBCSCF01","S-CSCF ID=0","4615187","78.603","99.622"
"2023-10-24 07:40:00","5","SNBCSCF01","S-CSCF ID=0","4616499","78.558","99.625"
"2023-10-24 07:45:00","5","SNBCSCF01","S-CSCF ID=0","4618105","77.927","99.633"
"2023-10-24 07:50:00","5","SNBCSCF01","S-CSCF ID=0","4619595","77.532","99.641"
"2023-10-24 07:55:00","5","SNBCSCF01","S-CSCF ID=0","4621261","78.219","99.611"
